"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FISHLAND","NLD","TONNE","A","2015",152432.61,
"AUS","FISHLAND","NLD","TONNE","A","2016",174246.49,
"AUS","FISHLAND","NLD","TONNE","A","2017",165795.1,
"AUS","FISHLAND","NLD","TONNE","A","2018",173430.86,
"BEL","FISHLAND","NLD","TONNE","A","2015",18376.5,
"BEL","FISHLAND","NLD","TONNE","A","2016",16712.871,
"BEL","FISHLAND","NLD","TONNE","A","2017",16728.02,
"BEL","FISHLAND","NLD","TONNE","A","2018",14857.962,
"CAN","FISHLAND","NLD","TONNE","A","2015",837379.51059156,"C"
"CAN","FISHLAND","NLD","TONNE","A","2016",846818.74586072,"C"
"CAN","FISHLAND","NLD","TONNE","A","2017",805836.17830147,"C"
"CAN","FISHLAND","NLD","TONNE","A","2018",799558.71309786,
"DNK","FISHLAND","NLD","TONNE","A","2015",743005.3,
"DNK","FISHLAND","NLD","TONNE","A","2016",551926.5,
"DNK","FISHLAND","NLD","TONNE","A","2017",779519.2,
"DNK","FISHLAND","NLD","TONNE","A","2018",684065.1,
"FIN","FISHLAND","NLD","TONNE","A","2015",99946,
"FIN","FISHLAND","NLD","TONNE","A","2016",104795,
"FIN","FISHLAND","NLD","TONNE","A","2017",128102,
"FIN","FISHLAND","NLD","TONNE","A","2018",114907,
"FRA","FISHLAND","NLD","TONNE","A","2015",291305.15,
"FRA","FISHLAND","NLD","TONNE","A","2016",401495.6,
"FRA","FISHLAND","NLD","TONNE","A","2017",301897.8,
"FRA","FISHLAND","NLD","TONNE","A","2018",332666.9,
"DEU","FISHLAND","NLD","TONNE","A","2015",29216.541,
"DEU","FISHLAND","NLD","TONNE","A","2016",91052.855,
"DEU","FISHLAND","NLD","TONNE","A","2017",76133.266,
"DEU","FISHLAND","NLD","TONNE","A","2018",85542.365,
"GRC","FISHLAND","NLD","TONNE","A","2015",64431.39,
"GRC","FISHLAND","NLD","TONNE","A","2016",61358.5,
"GRC","FISHLAND","NLD","TONNE","A","2017",62554.1,
"GRC","FISHLAND","NLD","TONNE","A","2018",53579.7845524,
"ISL","FISHLAND","NLD","TONNE","A","2015",1302829.908,
"ISL","FISHLAND","NLD","TONNE","A","2016",1060331.91,
"ISL","FISHLAND","NLD","TONNE","A","2017",1145541.658,
"ISL","FISHLAND","NLD","TONNE","A","2018",1252105.803,
"IRL","FISHLAND","NLD","TONNE","A","2015",204193.773167,
"IRL","FISHLAND","NLD","TONNE","A","2016",207782.22476039,
"IRL","FISHLAND","NLD","TONNE","A","2017",213499.1,
"IRL","FISHLAND","NLD","TONNE","A","2018",183833.43,
"ITA","FISHLAND","NLD","TONNE","A","2015",188751.854,
"ITA","FISHLAND","NLD","TONNE","A","2016",188019.914,
"ITA","FISHLAND","NLD","TONNE","A","2017",184778.179,
"ITA","FISHLAND","NLD","TONNE","A","2018",191666.225,"P"
"JPN","FISHLAND","NLD","TONNE","A","2015",3492430,
"JPN","FISHLAND","NLD","TONNE","A","2016",3263566,
"JPN","FISHLAND","NLD","TONNE","A","2017",3258018,
"JPN","FISHLAND","NLD","TONNE","A","2018",3415334,
"KOR","FISHLAND","NLD","TONNE","A","2015",1050496,
"KOR","FISHLAND","NLD","TONNE","A","2016",898718,
"KOR","FISHLAND","NLD","TONNE","A","2017",918766,
"KOR","FISHLAND","NLD","TONNE","A","2018",1000508,
"MEX","FISHLAND","NLD","TONNE","A","2015",1367752.9000471,
"MEX","FISHLAND","NLD","TONNE","A","2016",1400408.7553633,
"MEX","FISHLAND","NLD","TONNE","A","2017",1454297.8155373,
"MEX","FISHLAND","NLD","TONNE","A","2018",1772336.4495567,
"NLD","FISHLAND","NLD","TONNE","A","2015",330463.503,
"NLD","FISHLAND","NLD","TONNE","A","2016",366794.855,
"NLD","FISHLAND","NLD","TONNE","A","2017",411766.181,
"NLD","FISHLAND","NLD","TONNE","A","2018",404108.069,
"NZL","FISHLAND","NLD","TONNE","A","2015",430119.86179592,
"NZL","FISHLAND","NLD","TONNE","A","2016",412715.27189796,
"NZL","FISHLAND","NLD","TONNE","A","2017",414987.23569388,
"NZL","FISHLAND","NLD","TONNE","A","2018",393359.06304082,
"NOR","FISHLAND","NLD","TONNE","A","2015",1852326.3174,
"NOR","FISHLAND","NLD","TONNE","A","2016",1725269.6023,
"NOR","FISHLAND","NLD","TONNE","A","2017",1994322.0791,
"NOR","FISHLAND","NLD","TONNE","A","2018",1974646.62353,"P"
"POL","FISHLAND","NLD","TONNE","A","2015",107196.19976,
"POL","FISHLAND","NLD","TONNE","A","2016",117289.01243,
"POL","FISHLAND","NLD","TONNE","A","2017",108737.86815,
"POL","FISHLAND","NLD","TONNE","A","2018",121432.27943,
"PRT","FISHLAND","NLD","TONNE","A","2015",144187.27875,
"PRT","FISHLAND","NLD","TONNE","A","2016",132910.4931,
"PRT","FISHLAND","NLD","TONNE","A","2017",127484.82,
"PRT","FISHLAND","NLD","TONNE","A","2018",136329.49,
"ESP","FISHLAND","NLD","TONNE","A","2015",838977.03,
"ESP","FISHLAND","NLD","TONNE","A","2016",799599.12,
"ESP","FISHLAND","NLD","TONNE","A","2017",851353.04,
"ESP","FISHLAND","NLD","TONNE","A","2018",406432.57,
"SWE","FISHLAND","NLD","TONNE","A","2015",86358.2992,
"SWE","FISHLAND","NLD","TONNE","A","2016",91855.0799,
"SWE","FISHLAND","NLD","TONNE","A","2017",83569.8952,
"SWE","FISHLAND","NLD","TONNE","A","2018",90789.476,
"TUR","FISHLAND","NLD","TONNE","A","2015",397730.7,
"TUR","FISHLAND","NLD","TONNE","A","2016",301582.1,
"TUR","FISHLAND","NLD","TONNE","A","2017",322172.5,
"TUR","FISHLAND","NLD","TONNE","A","2018",283954.8,
"GBR","FISHLAND","NLD","TONNE","A","2015",415832.9285,
"GBR","FISHLAND","NLD","TONNE","A","2016",445793.653,
"GBR","FISHLAND","NLD","TONNE","A","2017",435122.5725,
"GBR","FISHLAND","NLD","TONNE","A","2018",426712.5369,
"USA","FISHLAND","NLD","TONNE","A","2015",4927876,
"USA","FISHLAND","NLD","TONNE","A","2016",4856718,
"USA","FISHLAND","NLD","TONNE","A","2017",4992301,
"USA","FISHLAND","NLD","TONNE","A","2018",4690710,
"ARG","FISHLAND","NLD","TONNE","A","2015",767648.508,
"ARG","FISHLAND","NLD","TONNE","A","2016",694971.715,
"ARG","FISHLAND","NLD","TONNE","A","2017",779214.897,
"ARG","FISHLAND","NLD","TONNE","A","2018",791636.128,
"CHL","FISHLAND","NLD","TONNE","A","2015",2098360,
"CHL","FISHLAND","NLD","TONNE","A","2016",1921691,
"CHL","FISHLAND","NLD","TONNE","A","2017",2312603,
"CHL","FISHLAND","NLD","TONNE","A","2018",2357237,
"EST","FISHLAND","NLD","TONNE","A","2015",72102.51747,
"EST","FISHLAND","NLD","TONNE","A","2016",72303.87146,
"EST","FISHLAND","NLD","TONNE","A","2017",75152.21729,
"EST","FISHLAND","NLD","TONNE","A","2018",77232.04232,
"SVN","FISHLAND","NLD","TONNE","A","2015",194,
"SVN","FISHLAND","NLD","TONNE","A","2016",152.0581,
"SVN","FISHLAND","NLD","TONNE","A","2017",127.86578,
"SVN","FISHLAND","NLD","TONNE","A","2018",126.25884,
"TWN","FISHLAND","NLD","TONNE","A","2015",485951.23417,
"TWN","FISHLAND","NLD","TONNE","A","2016",360921.60695,
"TWN","FISHLAND","NLD","TONNE","A","2017",416329.7245,
"TWN","FISHLAND","NLD","TONNE","A","2018",447148.85615,
"THA","FISHLAND","NLD","TONNE","A","2015",1317217,
"THA","FISHLAND","NLD","TONNE","A","2016",1343283,
"THA","FISHLAND","NLD","TONNE","A","2017",1300421,
"THA","FISHLAND","NLD","TONNE","A","2018",1502831,
"CHN","FISHLAND","NLD","TONNE","A","2015",15337111,
"CHN","FISHLAND","NLD","TONNE","A","2016",13859541,
"CHN","FISHLAND","NLD","TONNE","A","2017",13210403,
"CHN","FISHLAND","NLD","TONNE","A","2018",12702097,
"COL","FISHLAND","NLD","TONNE","A","2015",41324.780421478,
"COL","FISHLAND","NLD","TONNE","A","2016",12142.818172481,
"COL","FISHLAND","NLD","TONNE","A","2017",47437.70878272,"E"
"COL","FISHLAND","NLD","TONNE","A","2018",47440.886757411,"E"
"LVA","FISHLAND","NLD","TONNE","A","2015",61211,
"LVA","FISHLAND","NLD","TONNE","A","2016",56542,
"LVA","FISHLAND","NLD","TONNE","A","2017",61902.77,"C"
"LVA","FISHLAND","NLD","TONNE","A","2018",67076.75,
"CRI","FISHLAND","NLD","TONNE","A","2015",13382.024893733,
"CRI","FISHLAND","NLD","TONNE","A","2016",10001.959289487,
"CRI","FISHLAND","NLD","TONNE","A","2017",8790.68175,
"CRI","FISHLAND","NLD","TONNE","A","2018",10335.997335,
"IDN","FISHLAND","NLD","TONNE","A","2015",6689688,
"IDN","FISHLAND","NLD","TONNE","A","2016",6542258,
"IDN","FISHLAND","NLD","TONNE","A","2017",6688738.9262801,
"IDN","FISHLAND","NLD","TONNE","A","2018",7195527.0705112,
"LTU","FISHLAND","NLD","TONNE","A","2015",1947.56613,
"LTU","FISHLAND","NLD","TONNE","A","2016",1681.53329,
"LTU","FISHLAND","NLD","TONNE","A","2017",1676.405,
"LTU","FISHLAND","NLD","TONNE","A","2018",1725.607,
"OECD","FISHLAND","NLD","TONNE","A","2015",21532219.490035,
"OECD","FISHLAND","NLD","TONNE","A","2016",18579430.710902,
"OECD","FISHLAND","NLD","TONNE","A","2017",18320770.618591,
"PER","FISHLAND","NLD","TONNE","A","2015",4834949.0482601,
"PER","FISHLAND","NLD","TONNE","A","2016",3825719.5313957,
"VNM","FISHLAND","NLD","TONNE","A","2015",2589803,
"VNM","FISHLAND","NLD","TONNE","A","2016",2870200,
